AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102111|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102111|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102111|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728102112|SAT-AC|info|nvl 1:(EnviarDadosVenda):981731 CF-e-SAT CFe35200703476811015264590003462880190753395560 gerado com sucesso
20200728102112|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728102202|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102202|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102202|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102202|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102202|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102202|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102203|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102203|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102206|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102206|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102206|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102206|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102206|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102341|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102341|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102341|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102342|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102342|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102342|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728102343|SAT-AC|info|nvl 1:(EnviarDadosVenda):982186 CF-e-SAT CFe35200703476811015264590003462880190761179600 gerado com sucesso
20200728102343|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728102807|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102807|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102807|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102808|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102808|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102808|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102809|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102809|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102824|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102824|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102824|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102825|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102825|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102835|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102835|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102835|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102836|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102836|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102836|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728102837|SAT-AC|info|nvl 1:(EnviarDadosVenda):982671 CF-e-SAT CFe35200703476811015264590003462880190777722073 gerado com sucesso
20200728102837|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728102942|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728102942|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728102942|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728102943|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728102943|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728102943|AC-SAT|info|nvl 2:(EnviarDadosVenda) mensagem recebida
20200728102944|SAT-AC|info|nvl 1:(EnviarDadosVenda):982749 CF-e-SAT CFe35200703476811015264590003462880190780743825 gerado com sucesso
20200728102944|SAT-AC|info|nvl 2:(EnviarDadosVenda) mensagem enviada
20200728103142|AC-SAT|info|nvl 2:(ConsultarSAT) mensagem recebida
20200728103142|SAT-AC|info|nvl 2:(ConsultarSAT) mensagem enviada
20200728103142|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103143|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103143|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
20200728103143|AC-SAT|info|nvl 2:(ConsultarStatusOperacional) mensagem recebida
20200728103144|SAT-AC|info|nvl 1:(ConsultarStatusOperacional) consulta realizada com sucesso
20200728103144|SAT-AC|info|nvl 2:(ConsultarStatusOperacional) mensagem enviada
