-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131047|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131049|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019131049|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131052|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131058|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131103|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131108|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131114|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131119|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131120|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131120|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131120|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131120|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131125|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131130|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131135|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131141|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131146|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131150|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131150|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131150|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131150|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131152|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131157|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131203|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131208|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131213|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131219|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131220|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131220|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131220|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131220|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019131220|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019131224|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131230|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131235|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131240|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019131240|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131240|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131246|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131251|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131257|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131302|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131308|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131310|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131310|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131310|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131310|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131313|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131319|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131325|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
